코드번호,제목,지은이,출판사,대출여부,대출자,장르,상태,기타
10001,수필,피천득,범우사,,,문학·인문,,
10002,무소유,법정,범우사,,,문학·인문,,
10003,바다의 침묵(외),"베르코르/조규철,이정림",범우사,,,문학·인문,,
10004,살며 생각하며,미우라 아야코,범우사,,,문학·인문,,
10005,"오, 고독이여",F.니체,범우사,,,문학·인문,,
10006,어린왕자,A.생테쥐페리,범우사,,,문학·인문,,
10007,톨스토이 인생론,L.톨스토이,범우사,,,문학·인문,,
10008,이 조용한 시간에,김우종,범우사,,,문학·인문,,
10009,목마른 계절,전혜린,범우사,,,문학·인문,,
10010,젊은이여 인생을 이야기하자,A.모르아,범우사,,,문학·인문,,
10011,고독한 당신을 위하여,L.린저,범우사,,,문학·인문,,
10012,김소월 시집,김소월,범우사,,,문학·인문,,
10013,장자,장자,범우사,,,문학·인문,,
10014,예언자,K.지브란,범우사,,,문학·인문,,
10015,윤동주 시집,윤동주,범우사,,,문학·인문,,
10016,명정 40년,변영로,범우사,,,문학·인문,,
10017,산사에 심은 뜻은,이청담,범우사,,,문학·인문,,
10018,애정은 기도처럼,이영도,범우사,,,문학·인문,,
10019,이브의 친형,김남조,범우사,,,문학·인문,,
10020,탈무드,M.토케이어,범우사,,,문학·인문,,
10021,노자도덕경,노자,범우사,,,문학·인문,,
10022,갈매기의 꿈,R.바크,범우사,,,문학·인문,,
10023,우정론,A.보나르,범우사,,,문학·인문,,
10024,명상록,M.아우렐리우스,범우사,,,문학·인문,,
10025,젊은 여성을 위한 인생론,P.벅,범우사,,,문학·인문,,
10026,B사감과 러브레터,현진건,범우사,,,문학·인문,,
10027,느티의 일월,모윤숙,범우사,,,문학·인문,,
10028,로렌스의 성과 사랑,D.H로렌스,범우사,,,문학·인문,,
10029,박인환 시집,박인환,범우사,,,문학·인문,,
10030,모래톱 이야기,김정한,범우사,,,문학·인문,,
10031,창문,김태길,범우사,,,문학·인문,,
10032,방랑,H.헤세,범우사,,,문학·인문,,
10033,손자병법,손무,범우사,,,문학·인문,,
10034,소설·알렉산드리아,이병주,범우사,,,문학·인문,,
10035,전락,A.카뮈,범우사,,,문학·인문,,
10036,사노라면 잊을 날이,윤형두,범우사,,,문학·인문,,
10037,김삿갓 시집,김병연,범우사,,,문학·인문,,
10038,서정주 시집,서정주,범우사,,,문학·인문,,
10039,사람은 무엇으로 사는가,L.톨스토이,범우사,,,문학·인문,,
